State,LGA,Ward,PU-Code,PU-Name,Address,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,latitude,longitude
LAGOS,AJEROMI/IFELODUN,AWODI-ORA,24-02-02-013,UZOR STR./JOHN CLOSE,"UZOR STR./JOHN CLOSE, AJEROMI/IFELODUN, LAGOS",151,589,True,-1,False,True,False,False,UNKNOWN,11,121,8,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77170/result_22233_1677594299_thumb.jpg,6.453449,3.337107
LAGOS,AJEROMI/IFELODUN,AWODI-ORA,24-02-02-014,UZOR STR./FREEDOM JUNCTION,"UZOR STR./FREEDOM JUNCTION, AJEROMI/IFELODUN, LAGOS",184,697,True,-1,False,False,False,False,UNKNOWN,18,131,8,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77171/result_22234_1677594602_thumb.jpg,6.453449,3.337107
LAGOS,AJEROMI/IFELODUN,AWODI-ORA,24-02-02-015,"181, UZOR STR. AJEGUNLE I","181, UZOR STR. AJEGUNLE I, AJEROMI/IFELODUN, LAGOS",151,575,True,-1,False,False,False,False,UNKNOWN,21,102,5,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77172/result_22235_1677594776_thumb.jpg,6.45197,3.33115
LAGOS,AJEROMI/IFELODUN,AWODI-ORA,24-02-02-017,B/W 151/153 ORODU STREET,"B/W 151/153 ORODU STREET, AJEROMI/IFELODUN, LAGOS",153,738,True,-1,False,False,False,False,UNKNOWN,21,112,10,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77174/result_22237_1677595485_thumb.jpg,26.628964,-81.970867
LAGOS,AJEROMI/IFELODUN,AWODI-ORA,24-02-02-018,"162, ORODU STREET","162, ORODU STREET, AJEROMI/IFELODUN, LAGOS",114,606,True,-1,False,False,False,False,UNKNOWN,25,67,6,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77175/result_22238_1677597333_thumb.jpg,6.453449,3.337107
LAGOS,AJEROMI/IFELODUN,AWODI-ORA,24-02-02-019,ZUMRATUL ISLAMIYA PRIMARY SCHOOL,"ZUMRATUL ISLAMIYA PRIMARY SCHOOL, AJEROMI/IFELODUN, LAGOS",103,798,True,-1,False,False,False,False,UNKNOWN,25,62,14,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77176/result_22239_1677597587_thumb.jpg,,
LAGOS,AJEROMI/IFELODUN,AWODI-ORA,24-02-02-020,MBA STREET/ZACHEAUS JUNCTION,"MBA STREET/ZACHEAUS JUNCTION, AJEROMI/IFELODUN, LAGOS",104,594,True,-1,False,True,False,False,UNKNOWN,12,85,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77177/result_22240_1677597850_thumb.jpg,6.453449,3.337107
LAGOS,AJEROMI/IFELODUN,AWODI-ORA,24-02-02-021,MBA STREET/SHOLADE STREET JUNCTION,"MBA STREET/SHOLADE STREET JUNCTION, AJEROMI/IFELODUN, LAGOS",111,493,True,-1,False,False,False,False,UNKNOWN,14,86,7,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77178/result_22241_1677598197.jpg,6.453449,3.337107
LAGOS,AJEROMI/IFELODUN,AWODI-ORA,24-02-02-022,MUSLIM PRIMARY SCHOOL,"MUSLIM PRIMARY SCHOOL, AJEROMI/IFELODUN, LAGOS",68,499,True,-1,False,False,False,False,UNKNOWN,17,42,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77179/result_22242_1677595825_thumb.jpg,,
LAGOS,AJEROMI/IFELODUN,AWODI-ORA,24-02-02-023,"15, MATTEW DANIEL STREET OFF CARDOSO","15, MATTEW DANIEL STREET OFF CARDOSO, AJEROMI/IFELODUN, LAGOS",90,516,True,-1,False,False,False,False,UNKNOWN,32,35,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77180/result_22243_1677596338_thumb.jpg,6.58115,3.26811
