State,LGA,Ward,PU-Code,PU-Name,Address,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,latitude,longitude
LAGOS,AJEROMI/IFELODUN,TEMIDIRE I,24-02-06-002,"26, TEMIDIRE STREET","26, TEMIDIRE STREET, AJEROMI/IFELODUN, LAGOS",163,750,True,-1,False,False,False,False,UNKNOWN,14,89,12,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77391/result_22505_1677513990_thumb.jpg,6.441737,3.344753
LAGOS,AJEROMI/IFELODUN,TEMIDIRE I,24-02-06-003,"56, TEMIDIRE STREET","56, TEMIDIRE STREET, AJEROMI/IFELODUN, LAGOS",235,1119,True,-1,False,True,False,False,UNKNOWN,100,116,15,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77392/result_22506_1677514680_thumb.jpg,6.441737,3.344753
LAGOS,AJEROMI/IFELODUN,TEMIDIRE I,24-02-06-004,"6, ADEOLU STREET","6, ADEOLU STREET, AJEROMI/IFELODUN, LAGOS",99,642,True,-1,False,False,False,False,UNKNOWN,40,41,5,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77393/result_22507_1677515059_thumb.jpg,6.453449,3.337107
LAGOS,AJEROMI/IFELODUN,TEMIDIRE I,24-02-06-005,"15, ADEOLU STREET","15, ADEOLU STREET, AJEROMI/IFELODUN, LAGOS",144,639,True,-1,False,False,False,False,UNKNOWN,55,63,4,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77394/result_22508_1677515801_thumb.jpg,6.453449,3.337107
LAGOS,AJEROMI/IFELODUN,TEMIDIRE I,24-02-06-006,"48, ADEOLU STREET","48, ADEOLU STREET, AJEROMI/IFELODUN, LAGOS",152,682,True,-1,False,False,False,False,UNKNOWN,49,83,7,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77395/result_22509_1677515871_thumb.jpg,6.453449,3.337107
LAGOS,AJEROMI/IFELODUN,TEMIDIRE I,24-02-06-007,"34, ADEOLU STREET","34, ADEOLU STREET, AJEROMI/IFELODUN, LAGOS",150,606,True,-1,False,False,False,False,UNKNOWN,60,71,9,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77396/result_22510_1677515989_thumb.jpg,6.453449,3.337107
LAGOS,AJEROMI/IFELODUN,TEMIDIRE I,24-02-06-008,"22, OLOWOSUN STREET","22, OLOWOSUN STREET, AJEROMI/IFELODUN, LAGOS",152,917,True,-1,False,False,False,False,UNKNOWN,80,45,9,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77397/result_22511_1677516094_thumb.jpg,6.453449,3.337107
LAGOS,AJEROMI/IFELODUN,TEMIDIRE I,24-02-06-009,"4, ASOGBON STREET","4, ASOGBON STREET, AJEROMI/IFELODUN, LAGOS",99,660,True,-1,False,False,False,False,UNKNOWN,22,64,2,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77398/result_22512_1677516195_thumb.jpg,6.453449,3.337107
LAGOS,AJEROMI/IFELODUN,TEMIDIRE I,24-02-06-010,"3, OREMEJI STREET","3, OREMEJI STREET, AJEROMI/IFELODUN, LAGOS",89,451,True,-1,False,False,False,False,UNKNOWN,55,28,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77399/result_22513_1677516270_thumb.jpg,6.510277,3.339762
LAGOS,AJEROMI/IFELODUN,TEMIDIRE I,24-02-06-011,"34, OJOKU STREET","34, OJOKU STREET, AJEROMI/IFELODUN, LAGOS",169,874,True,-1,False,False,False,False,UNKNOWN,48,96,13,5,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77400/result_22514_1677516333_thumb.jpg,6.446402,3.3425
LAGOS,AJEROMI/IFELODUN,TEMIDIRE I,24-02-06-012,"14, OJOKU STREET","14, OJOKU STREET, AJEROMI/IFELODUN, LAGOS",144,642,True,-1,False,False,False,False,UNKNOWN,62,67,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77401/result_22515_1677516412_thumb.jpg,6.446402,3.3425
LAGOS,AJEROMI/IFELODUN,TEMIDIRE I,24-02-06-013,OPEN SPACE WITHIN PRINCE ADEBUMOYE STREET,"OPEN SPACE WITHIN PRINCE ADEBUMOYE STREET, AJEROMI/IFELODUN, LAGOS",125,668,True,-1,False,False,False,False,UNKNOWN,38,48,7,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77402/result_22516_1677516548_thumb.jpg,6.453449,3.337107
LAGOS,AJEROMI/IFELODUN,TEMIDIRE I,24-02-06-014,"16, OSHODI STREET","16, OSHODI STREET, AJEROMI/IFELODUN, LAGOS",128,736,True,-1,False,False,False,False,UNKNOWN,33,76,12,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77403/result_22517_1677516626_thumb.jpg,6.444556,3.343262
LAGOS,AJEROMI/IFELODUN,TEMIDIRE I,24-02-06-015,"8, OSHODI STREET","8, OSHODI STREET, AJEROMI/IFELODUN, LAGOS",146,636,True,-1,False,False,False,False,UNKNOWN,49,67,4,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77404/result_22518_1677516686_thumb.jpg,6.444556,3.343262
LAGOS,AJEROMI/IFELODUN,TEMIDIRE I,24-02-06-016,"5, MOKOYA STREET","5, MOKOYA STREET, AJEROMI/IFELODUN, LAGOS",111,669,True,-1,False,False,False,False,UNKNOWN,23,61,7,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77405/result_22519_1677516766_thumb.jpg,6.445247,3.343656
LAGOS,AJEROMI/IFELODUN,TEMIDIRE I,24-02-06-017,"18, MOKOYA STREET","18, MOKOYA STREET, AJEROMI/IFELODUN, LAGOS",147,749,True,-1,False,False,False,False,UNKNOWN,46,74,4,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77406/result_22520_1677516831_thumb.jpg,6.445247,3.343656
LAGOS,AJEROMI/IFELODUN,TEMIDIRE I,24-02-06-018,"17, AJADI STREET","17, AJADI STREET, AJEROMI/IFELODUN, LAGOS",115,617,True,-1,False,True,False,False,UNKNOWN,142,57,71,6,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77407/result_22521_1677516895_thumb.jpg,6.453449,3.337107
LAGOS,AJEROMI/IFELODUN,TEMIDIRE I,24-02-06-019,"12, EBUN OTTI STREET","12, EBUN OTTI STREET, AJEROMI/IFELODUN, LAGOS",148,750,True,-1,True,False,False,False,UNKNOWN,42,80,8,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77408/result_22522_1677517107_thumb.jpg,6.453449,3.337107
LAGOS,AJEROMI/IFELODUN,TEMIDIRE I,24-02-06-020,"36, EBUN OTTI STREET","36, EBUN OTTI STREET, AJEROMI/IFELODUN, LAGOS",91,482,True,-1,False,False,True,False,UNKNOWN,23,54,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77409/result_22523_1677517229_thumb.jpg,6.453449,3.337107
LAGOS,AJEROMI/IFELODUN,TEMIDIRE I,24-02-06-021,47 APENA STREET,"47 APENA STREET, AJEROMI/IFELODUN, LAGOS",192,830,True,-1,False,True,False,False,UNKNOWN,39,125,30,5,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77410/result_22524_1677518108_thumb.jpg,6.446452,3.344489
LAGOS,AJEROMI/IFELODUN,TEMIDIRE I,24-02-06-023,MARACANA FIELD,"MARACANA FIELD, AJEROMI/IFELODUN, LAGOS",128,818,True,-1,False,False,False,False,UNKNOWN,32,67,12,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77412/result_22526_1677518320_thumb.jpg,6.453449,3.337107
LAGOS,AJEROMI/IFELODUN,TEMIDIRE I,24-02-06-024,"6, AVOSERI STREET","6, AVOSERI STREET, AJEROMI/IFELODUN, LAGOS",121,543,True,-1,False,False,False,False,UNKNOWN,36,58,10,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77413/result_22527_1677518375_thumb.jpg,6.453449,3.337107
