State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,latitude,longitude
EKITI,ADO EKITI,ADO 'I' DALLIMORE,13-01-09-001,"IN FRONT OF PA JEGEDE 'S HOUSE / JEGEDE, ADEHUN",181,1091,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,119,21,28,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/001/001-1677402859.pdf,-7.3492859,108.4843227
EKITI,ADO EKITI,ADO 'I' DALLIMORE,13-01-09-002,IN FRONT OF OMOLAYO'S HOUSE / OMOLAYO,257,1257,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,176,31,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/002/002-1677400230.pdf,48.1500279,11.6646086
EKITI,ADO EKITI,ADO 'I' DALLIMORE,13-01-09-003,IN FRONT OF ADEBAYO'S ESTATE / ADEBAYO ESTATE,185,1253,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,111,41,22,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/003/003-1677360485.pdf,-15.9941326,-47.9860094
EKITI,ADO EKITI,ADO 'I' DALLIMORE,13-01-09-004,"BETWEEN EYEJARI, MELODY'S HOUSE / PRINCE MELODY ST.",154,750,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,103,25,23,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/004/004-1677394066.pdf,-7.3492859,108.4843227
EKITI,ADO EKITI,ADO 'I' DALLIMORE,13-01-09-005,"BETWEEN EYEJARI, MELODY'S HOUSE / PRINCE MELODY ST.",154,750,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,89,12,44,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/004/004-1677394066.pdf,-7.3473144,108.4877341
EKITI,ADO EKITI,ADO 'I' DALLIMORE,13-01-09-006,IN FRONT OF AJITADIDUN PRY. SCH. / CHIEF OLORA'S COMP. I,331,1721,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,222,49,36,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/006/006-1677397800.pdf,-7.3492859,108.4843227
EKITI,ADO EKITI,ADO 'I' DALLIMORE,13-01-09-007,AT THE BACK OF AJITADIDUN PRY. SCH. / CHIEF OLORA'S COMP. II,177,780,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,115,26,32,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/007/007-1677361738.pdf,-6.1314595,106.8333185
EKITI,ADO EKITI,ADO 'I' DALLIMORE,13-01-09-008,IN FRONT OF STATE HOSPITAL / STATE HOSTIPAL,365,2184,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,204,96,40,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/008/008-1677396947.pdf,-7.3492859,108.4843227
EKITI,ADO EKITI,ADO 'I' DALLIMORE,13-01-09-009,"IN FRONT OF DR. AKEJU'S HOUSE, BESIDE ALAGBONMEFA",179,936,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,124,19,20,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/009/009-1677396460.pdf,32.2864932,36.3313486
EKITI,ADO EKITI,ADO 'I' DALLIMORE,13-01-09-010,EMMANUEL PRY. SCH. / COMM. CENTRE,146,693,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,109,11,17,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/010/010-1677395067.pdf,-7.3492859,108.4843227
