State,LGA,Ward,PU-Code,PU-Name,Address,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,latitude,longitude
LAGOS,AGEGE,ISALE/IDIMANGORO,24-01-01-001,"ST. JOSEPH SECONDARY SCHOOL, MANGORO","ST. JOSEPH SECONDARY SCHOOL, MANGORO, ISALE/IDIMANGORO INEC WARD ,AGEGE, LAGOS",120,744,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76564/result_21438_1677481406_thumb.jpg,,
LAGOS,AGEGE,ISALE/IDIMANGORO,24-01-01-002,"15, SHOMIDE STREET","15, SHOMIDE STREET, ISALE/IDIMANGORO INEC WARD ,AGEGE, LAGOS",111,716,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76565/result_21439_1677481568_thumb.jpg,6.611471,3.3278433
LAGOS,AGEGE,ISALE/IDIMANGORO,24-01-01-004,"8, SEBIOTIMO STREET","8, SEBIOTIMO STREET, ISALE/IDIMANGORO INEC WARD ,AGEGE, LAGOS",108,843,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,31,57,11,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76567/result_21441_1677481806_thumb.jpg,6.6115629,3.3269877
LAGOS,AGEGE,ISALE/IDIMANGORO,24-01-01-005,"6, SEBIOTIMO STREET","6, SEBIOTIMO STREET, ISALE/IDIMANGORO INEC WARD ,AGEGE, LAGOS",114,731,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,28,66,5,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76568/result_21442_1677481951_thumb.jpg,6.6115629,3.3269877
LAGOS,AGEGE,ISALE/IDIMANGORO,24-01-01-006,WITHIN OLABI SQUARE,"WITHIN OLABI SQUARE, ISALE/IDIMANGORO INEC WARD ,AGEGE, LAGOS",80,539,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,24,28,16,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76569/result_21443_1677482082_thumb.jpg,,
LAGOS,AGEGE,ISALE/IDIMANGORO,24-01-01-007,KAMORU ALIMI/SEBIOTIMO STREET I,"KAMORU ALIMI/SEBIOTIMO STREET I, ISALE/IDIMANGORO INEC WARD ,AGEGE, LAGOS",128,676,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,77,19,7,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76570/result_21444_1677482144_thumb.jpg,,
LAGOS,AGEGE,ISALE/IDIMANGORO,24-01-01-008,KAMORU ALIMI/SEBIOTIMO STREET II,"KAMORU ALIMI/SEBIOTIMO STREET II, ISALE/IDIMANGORO INEC WARD ,AGEGE, LAGOS",137,722,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,98,11,8,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76571/result_21445_1677482238_thumb.jpg,,
LAGOS,AGEGE,ISALE/IDIMANGORO,24-01-01-009,"18, MAYAKA STREET","18, MAYAKA STREET, ISALE/IDIMANGORO INEC WARD ,AGEGE, LAGOS",114,815,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,62,42,4,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76572/result_21446_1677482303_thumb.jpg,6.6124635,3.3258196
LAGOS,AGEGE,ISALE/IDIMANGORO,24-01-01-010,COMMUNITY PRY. SCHOOL,"COMMUNITY PRY. SCHOOL, ISALE/IDIMANGORO INEC WARD ,AGEGE, LAGOS",95,643,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,53,26,10,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76573/result_21447_1677482453_thumb.jpg,,
LAGOS,AGEGE,ISALE/IDIMANGORO,24-01-01-011,"2, OTUN STREET","2, OTUN STREET, ISALE/IDIMANGORO INEC WARD ,AGEGE, LAGOS",95,476,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,29,52,2,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76574/result_21448_1677482625_thumb.jpg,,
